name,func,num,sz,amount,a,b,c,d
nefarious_altocumulus_mammatus.jpg,3,4,1.9988401,2.1765108,1.5994918,-1.1670166,-2.7455668,0.071514845
taciturn_cirrocumulus_cirrostratomutatus.jpg,3,2,3.9479213,1.7290196,2.5648143,-0.70017004,-2.8935366,-0.6511848
tender_cumulonimbus_calvus.jpg,3,2,1.4931233,1.6734315,1.5797328,2.059692,-2.3696482,0.009546757
dazed_cirrocumulus_stratiformis_lacunosus.jpg,3,1,2.9869123,2.3032613,2.287712,-2.3820844,-0.23858881,-0.86146176
tormented_cirrus_spissatus.jpg,3,4,2.5197415,1.3366475,1.4175625,-0.4796841,-1.141372,-0.25327456
joyous_altostratus_translucidus_undulatus.jpg,3,2,3.3521862,2.7031722,1.2411706,-0.1502788,-2.498579,-0.52524006
tainted_altocumulus_stratiformis_translucidus_lacunosus.jpg,3,3,1.1840413,2.3025463,2.3007317,-1.9991001,-2.1717548,-0.5150105
charmed_cumulus_pileus.jpg,3,1,4.1057925,1.0086287,1.6045868,2.130035,-2.4831843,0.5901952
blithe_cumulus_tuba.jpg,3,2,4.6479216,2.6174653,1.7203559,2.0602746,-1.6989834,0.1255337
untruthful_stratocumulus_stratiformis_opacus_radiatus.jpg,3,4,1.6591859,1.5339952,1.9859873,-1.1977054,-1.0301645,-0.2584691
damaged_cumulonimbus_tuba.jpg,3,3,1.4509413,1.268954,1.3276626,0.1542821,-1.0327717,0.28881145
duplicitous_cirrocumulus_cirrostratomutatus.jpg,3,4,1.4829881,2.8832417,1.3700458,2.6358118,-1.4105823,0.59727
thankful_cirrus_cumulonimbogenitus.jpg,3,2,4.004197,1.753046,1.8882939,-0.3088193,-1.3482953,-0.06413734
engrossed_cirrostratus_fibratus_undulatus.jpg,3,2,4.7953997,1.308721,1.038881,0.7185526,-1.2587081,-0.8927543
rebellious_cirrostratus_cumulonimbogenitus.jpg,3,2,2.2982826,1.2737062,1.2372372,-0.4854133,-2.637139,-0.35262454
charming_cumulonimbus_flammagenitus.jpg,3,2,1.4174471,2.904129,1.4561408,0.59727716,-0.9135184,0.5350441
mournful_cirrostratus_fibratus.jpg,3,3,4.494496,1.3173898,1.033489,1.4996581,-2.6723442,-0.6918552
eager_altocumulus_lenticularis_undulatus.jpg,3,2,1.8790245,2.1857271,2.9391732,0.40458226,-2.6469936,-0.9950777
playful_altocumulus_mammatus.jpg,3,1,4.7912426,1.6316619,1.9097679,1.269269,-2.7172878,0.76730835
liberated_cumulus_virga.jpg,3,2,4.919088,2.2348318,2.4678917,-2.430736,-1.5504777,0.38784134
eager_stratocumulus_stratomutatus.jpg,3,1,3.714098,1.7220751,1.4337775,-2.838413,-1.4507146,0.31335068
wicked_stratocumulus_stratiformis_translucidus_radiatus.jpg,3,3,3.8668284,1.2838696,1.6949674,1.1289372,-2.7333922,0.40132248
mirthful_cirrocumulus_floccus.jpg,3,1,4.80721,1.3285699,2.6610336,-2.4019668,-2.6426306,-0.7903229
eccentric_cirrus_homogenitus.jpg,3,1,2.7469993,2.326353,1.9802765,1.5596657,-2.434268,0.8184215
bright_nimbostratus_praecipitatio.jpg,3,1,2.04479,1.8386725,1.6306928,2.4260664,-2.7062566,0.49386466
bubbly_stratus_nimbostratogenitus.jpg,3,1,3.5325723,2.8585978,1.2885426,-0.5616393,-0.019704342,-0.90198386
mordant_cirrus_fibratus_intortus.jpg,3,4,1.5497272,2.9819555,1.336377,-2.299745,-0.15246105,-0.11027968
compassionate_cumulus_mediocris.jpg,3,1,2.6617413,2.1243749,1.0288069,-0.96134615,-2.2727184,0.8144754
annoyed_cirrocumulus_stratiformis_undulatus.jpg,3,3,2.0477104,2.8311758,2.7469335,2.108243,-2.5234897,0.6235025
lost_stratus_nebulosus_translucidus.jpg,3,4,2.682369,1.7084621,2.328123,-2.077486,-2.2546916,0.5157131
ingenuous_cumulus_arcus.jpg,3,2,4.807756,2.8565426,1.5614101,0.9218209,-1.6342435,-0.027118087
nefarious_cirrus_fibratus_vertebratus.jpg,3,4,3.3659575,1.7782625,2.2089257,-1.1876607,-0.7695806,0.8295982
invidious_cumulus_virga.jpg,3,4,3.834268,2.739801,1.2299007,-0.46346354,-0.43148756,-0.68338394
devoted_stratus_praecipitatio.jpg,3,1,2.013633,2.7070293,2.6698203,-0.4234867,-0.01672721,-0.1488328
rebarbative_stratus_nimbostratogenitus.jpg,3,4,1.8881474,1.7612398,1.9114722,-2.4436176,-2.792122,-0.19716883
invidious_cirrostratus_homogenitus.jpg,3,4,4.5124884,1.6433104,2.3683424,-1.4427892,-1.6799304,-0.06399536
jolly_cirrus_fibratus_intortus.jpg,3,2,2.505905,2.7529194,1.8888803,1.4074421,-0.8050213,0.31531262
